ARTIST,LAGU,TAHUN
Ungu,Cinta Dalam Hati,2008.0
Naff,Kenanglah Aku,2017.0
Letto,Sebelum Cahaya,2004.0
Melly Goeslow,Mungkin,2004.0
Ari Lasso,Hampa,2000.0
Utopia,Hujan,2002.0
Element,Cinta Tak Bersyarat,2004.0
Letto,Ruang Rindu,2003.0
NineBall,Hingga Akhir Waktu,2006.0
Ebiet G Ade,Ayah,1990.0
